gene_id,protein_id
ENSG00000000003,ENSP00000000003
ENSG00000000005,ENSP00000000005
ENSG00000000419,ENSP00000000419
ENSG00000000457,ENSP00000000457
ENSG00000000460,ENSP00000000460
ENSG00000000938,ENSP00000000938
ENSG00000000971,ENSP00000000971
ENSG00000001036,ENSP00000001036
ENSG00000001084,ENSP00000001084
ENSG00000001167,ENSP00000001167
ENSG00000001460,ENSP00000001460
ENSG00000001461,ENSP00000001461
ENSG00000001497,ENSP00000001497
ENSG00000001561,ENSP00000001561
ENSG00000001617,ENSP00000001617
ENSG00000001626,ENSP00000001626
ENSG00000001629,ENSP00000001629
ENSG00000001630,ENSP00000001630
ENSG00000001631,ENSP00000001631
ENSG00000002016,ENSP00000002016
ENSG00000002079,ENSP00000002079
ENSG00000002330,ENSP00000002330
ENSG00000002549,ENSP00000002549
ENSG00000002586,ENSP00000002586
ENSG00000002587,ENSP00000002587
ENSG00000002726,ENSP00000002726
ENSG00000002745,ENSP00000002745
ENSG00000002746,ENSP00000002746
ENSG00000002822,ENSP00000002822
ENSG00000002834,ENSP00000002834
ENSG00000002919,ENSP00000002919
ENSG00000002933,ENSP00000002933
ENSG00000003056,ENSP00000003056
ENSG00000003096,ENSP00000003096
ENSG00000003137,ENSP00000003137
ENSG00000003147,ENSP00000003147
ENSG00000003249,ENSP00000003249
ENSG00000003393,ENSP00000003393
ENSG00000003400,ENSP00000003400
ENSG00000003402,ENSP00000003402
ENSG00000003436,ENSP00000003436
ENSG00000003509,ENSP00000003509
ENSG00000003756,ENSP00000003756
ENSG00000003987,ENSP00000003987
ENSG00000003989,ENSP00000003989
ENSG00000004059,ENSP00000004059
ENSG00000004139,ENSP00000004139
ENSG00000004142,ENSP00000004142
ENSG00000004399,ENSP00000004399
ENSG00000004455,ENSP00000004455
ENSG00000004468,ENSP00000004468
ENSG00000004478,ENSP00000004478
ENSG00000004487,ENSP00000004487
ENSG00000004534,ENSP00000004534
ENSG00000004660,ENSP00000004660
ENSG00000004700,ENSP00000004700
ENSG00000004766,ENSP00000004766
ENSG00000004776,ENSP00000004776
ENSG00000004777,ENSP00000004777
ENSG00000004779,ENSP00000004779
ENSG00000004799,ENSP00000004799
ENSG00000004809,ENSP00000004809
ENSG00000004838,ENSP00000004838
ENSG00000004846,ENSP00000004846
ENSG00000004848,ENSP00000004848
ENSG00000004864,ENSP00000004864
ENSG00000004866,ENSP00000004866
ENSG00000004897,ENSP00000004897
ENSG00000004939,ENSP00000004939
ENSG00000004948,ENSP00000004948
ENSG00000004961,ENSP00000004961
ENSG00000004975,ENSP00000004975
ENSG00000005001,ENSP00000005001
ENSG00000005007,ENSP00000005007
ENSG00000005020,ENSP00000005020
ENSG00000005022,ENSP00000005022
ENSG00000005059,ENSP00000005059
ENSG00000005073,ENSP00000005073
ENSG00000005075,ENSP00000005075
ENSG00000005100,ENSP00000005100
ENSG00000005102,ENSP00000005102
ENSG00000005108,ENSP00000005108
ENSG00000005156,ENSP00000005156
ENSG00000005175,ENSP00000005175
ENSG00000005187,ENSP00000005187
ENSG00000005189,ENSP00000005189
ENSG00000005194,ENSP00000005194
ENSG00000005206,ENSP00000005206
ENSG00000005238,ENSP00000005238
ENSG00000005243,ENSP00000005243
ENSG00000005249,ENSP00000005249
ENSG00000005302,ENSP00000005302
ENSG00000005339,ENSP00000005339
ENSG00000005379,ENSP00000005379
ENSG00000005381,ENSP00000005381
ENSG00000005421,ENSP00000005421
ENSG00000005436,ENSP00000005436
ENSG00000005448,ENSP00000005448
ENSG00000005469,ENSP00000005469
